POINT_ID,longitude,latitude
45821634,12.939798516,37.738451911
45821644,12.943681019,37.829145906
45821652,12.946797565,37.901693599
45821658,12.949141151,37.956100011
45821660,12.949923525,37.974234654
45821662,12.95070649,37.992368884
45822022,13.101887811,41.250251573
45822028,13.104591584,41.304451417
45822032,13.106397676,41.340582996
45822036,13.108206637,41.376713259
45822038,13.109112195,41.394777898
45822040,13.110018473,41.412842209
45822044,13.11183319,41.44896985
45822048,13.113650794,41.485096185
45822050,13.11456068,41.503158864
45822054,13.116382627,41.539283247
45822058,13.118207477,41.575406334
45822060,13.119120993,41.593467392
45822064,13.12095021,41.629588541
45822072,13.124617406,41.701826977
45822074,13.125536036,41.719885785
45822078,13.127375497,41.756002441
45822080,13.12829633,41.77406029
45822088,13.131987032,41.846288509
45822094,13.13476282,41.900456347
45822096,13.135689565,41.918511661
45822104,13.139403981,41.990729776
45822106,13.140334448,42.00878352
45822110,13.142197622,42.044890072
45822112,13.143130331,42.06294288
45822114,13.14406379,42.080995377
45822118,13.145932958,42.117099438
45822122,13.147805134,42.153202259
45822124,13.148742351,42.171253206
45822126,13.149680322,42.189303844
45822134,13.153439767,42.261503318
45822136,13.154381523,42.279552419
45822138,13.155324037,42.297601214
45822142,13.157211347,42.333697888
45822144,13.158156144,42.351745768
45822150,13.160995115,42.405887583
45822154,13.162891587,42.441980611
45822156,13.163840973,42.460026672
45822158,13.164791126,42.478072431
45822166,13.168599435,42.550252459
45822168,13.16955344,42.568296717
45822174,13.172420096,42.622427697
45822176,13.173377198,42.640470762
45822178,13.174335076,42.658513529
45822184,13.177213377,42.712640051
45822186,13.17817437,42.730681633
45822190,13.180098697,42.766763913
45822192,13.181062034,42.784804612
45822194,13.182026155,42.802845017
45822204,13.186858539,42.893042652
45822210,13.189767426,42.947157737
45822218,13.193657024,43.019307129
45822222,13.19560659,43.055380095
45822224,13.196582567,43.073416147
45822226,13.197559342,43.091451913
45822232,13.200494461,43.145557494
45822238,13.203436791,43.19966051
45822240,13.204419175,43.217694281
45822244,13.206386357,43.253760974
45822250,13.209343183,43.307858898
45822252,13.210330409,43.325890976
45822258,13.213296954,43.37998553
45822264,13.216270818,43.434077571
45822268,13.218257471,43.470137542
45822270,13.219252024,43.488167111
45822272,13.220247396,43.506196404
45822274,13.221243588,43.524225421
45822276,13.2222406,43.542254162
45822282,13.225236569,43.596338734
45822284,13.226236873,43.614366376
45822286,13.227238002,43.632393745
45822288,13.228239957,43.650420841
45822290,13.22924274,43.668447664
45822292,13.230246351,43.686474215
45822294,13.231250791,43.704500494
45822522,13.351444387,45.75782481
45822544,13.363668831,45.955789788
45822552,13.368142863,46.027770505
45822558,13.371508534,46.081753777
45822560,13.372632363,46.099747772
45822570,13.378266103,46.189714548
45822574,13.380526432,46.225699774
45822576,13.381658065,46.24369207
45822578,13.38279068,46.261684156
45822580,13.383924277,46.279676032
45822588,13.388468509,46.351641445
45822590,13.389607035,46.369632277
45822596,13.393028553,46.423603532
45822598,13.394171043,46.441593537
45822600,13.395314528,46.459583337
45822602,13.396459008,46.477572931
45822608,13.399898433,46.531540487
45822610,13.401046908,46.549529264
45841620,12.956855827,37.610765397
45841626,12.959189038,37.665191225
45841630,12.960747437,37.701473004
45841640,12.964653704,37.792170109
45841646,12.967004531,37.846583355
45841648,12.967789321,37.86472027
45841662,12.97329945,37.991667055
45842024,13.126542377,41.267574427
45842026,13.127450514,41.28564079
45842032,13.130179248,41.339837899
45842042,13.134741601,41.430159834
45842048,13.137487725,41.484349067
45842054,13.14024041,41.538535368
45842056,13.141159433,41.556596819
45842058,13.142079188,41.574657946
45842062,13.143920897,41.61077923
45842064,13.144842854,41.628839388
45842066,13.145765545,41.646899223
45842078,13.15131718,41.755251496
45842084,13.15410299,41.809423319
45842090,13.15689549,41.863592283
45842106,13.164375034,42.008028962
45842108,13.165313354,42.026082134
45842110,13.166252428,42.044134994
45842112,13.167192256,42.062187542
45842114,13.168132838,42.080239778
45842116,13.169074177,42.098291703
45842122,13.171902735,42.152445617
45842124,13.172847105,42.170496302
45842126,13.173792234,42.188546678
45842138,13.179479019,42.296842473
45842140,13.180429492,42.3148907
45842146,13.183285516,42.369033548
45842148,13.184239061,42.387080555
45842152,13.186148462,42.42317366
45842160,13.189976534,42.49535624
45842164,13.191895219,42.531445722
45842166,13.192855726,42.549490013
45842170,13.194779076,42.585577696
45842172,13.195741919,42.603621089
45842174,13.196705543,42.621664184
45842176,13.197669949,42.639706981
45842178,13.198635137,42.65774948
45842180,13.199601108,42.675791683
45842182,13.200567863,42.693833589
45842184,13.201535403,42.711875199
45842188,13.203472841,42.747957532
45842192,13.205413429,42.784038685
45842194,13.206384907,42.802078821
45842196,13.207357174,42.820118663
45842200,13.209304084,42.856197469
45842206,13.212230397,42.910313488
45842210,13.214185249,42.946389378
45842212,13.215163871,42.964426888
45842214,13.21614329,42.982464109
45842216,13.217123509,43.000501041
45842220,13.219086348,43.036574038
45842224,13.221052394,43.072645884
45842226,13.222036622,43.090681377
45842232,13.224994138,43.144786137
45842236,13.22696985,43.180854551
45842238,13.227958919,43.198888332
45842242,13.229939489,43.234955041
45842250,13.233910379,43.307085068
45842258,13.237894318,43.379210595
45842260,13.238892349,43.397241278
45842268,13.242892684,43.46936122
45842270,13.243894826,43.487390511
45842272,13.244897792,43.505419526
45842274,13.245901585,43.523448264
45842276,13.246906204,43.541476726
45842278,13.247911651,43.559504912
45842280,13.248917926,43.577532824
45842282,13.249925032,43.595560461
45842284,13.250932968,43.613587823
45842286,13.251941735,43.631614912
45842288,13.252951335,43.649641727
45842292,13.254973037,43.68569454
45842524,13.378210581,45.775008781
45842526,13.379326521,45.793006166
45842530,13.38156128,45.829000273
45842538,13.38604234,45.900985843
45842544,13.389413273,45.95497272
45842546,13.390538854,45.972967911
45842550,13.392792929,46.00895764
45842552,13.393921425,46.026952181
45842554,13.395050895,46.044946505
45842556,13.396181341,46.062940614
45842562,13.39957854,46.116921653
45842568,13.40298456,46.170900768
45842570,13.404121865,46.188893381
45842584,13.412110645,46.314835762
45842588,13.414402074,46.350817412
45842590,13.415549282,46.368807924
45842596,13.418996891,46.422778217
45842606,13.424762934,46.512724583
45842608,13.425919158,46.530713242
